Info 0    [22:21:37.209] Starting TS Server
Info 1    [22:21:37.210] Version: 4.7.4
Info 2    [22:21:37.210] Arguments: /usr/bin/node /home/hamza/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/hamza/dev/react/airbnb-experiences-clone/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/b1c46e31a4d434c64849178220b31ab0/tscancellation*
Info 3    [22:21:37.210] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [22:21:37.210] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [22:21:37.232] Format host information updated
Info 6    [22:21:37.239] Search path: /home/hamza/dev/react/airbnb-experiences-clone/src/components
Info 7    [22:21:37.240] For info: /home/hamza/dev/react/airbnb-experiences-clone/src/components/navbar.jsx :: No config files found.
Info 8    [22:21:37.245] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [22:21:38.841] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1595.752865999937ms
Info 10   [22:21:38.841] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [22:21:38.841] 	Files (157)

Info 12   [22:21:38.841] -----------------------------------------------
Info 13   [22:21:38.852] AutoImportProviderProject: found 5 root files in 5 dependencies in 9.400892999023199 ms
Info 14   [22:21:38.853] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [22:21:38.928] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 74.62505700066686ms
Info 16   [22:21:38.928] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [22:21:38.928] 	Files (127)

Info 18   [22:21:38.928] -----------------------------------------------
Info 19   [22:21:39.191] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [22:21:39.369] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 177.69192099943757ms
Info 21   [22:21:39.369] Project '/dev/null/inferredProject1*' (Inferred)
Info 22   [22:21:39.369] 	Files (162)

Info 23   [22:21:39.369] -----------------------------------------------
Info 24   [22:21:39.369] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 25   [22:21:39.369] 	Files (127)

Info 26   [22:21:39.369] -----------------------------------------------
Info 27   [22:21:41.636] Before ensureProjectForOpenFiles:
Info 28   [22:21:41.636] After ensureProjectForOpenFiles:
Info 29   [22:21:41.636] got projects updated in background, updating diagnostics for /home/hamza/dev/react/airbnb-experiences-clone/src/components/navbar.jsx
Info 30   [22:21:42.547] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [22:21:42.565] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 17.358968999236822ms
Info 32   [22:21:42.565] Different program with same set of files
Info 33   [22:21:43.618] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [22:21:43.632] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 14.12295900285244ms
Info 35   [22:21:43.632] Different program with same set of files
Info 36   [22:21:47.029] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [22:21:47.049] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 19.995113000273705ms
Info 38   [22:21:47.049] Different program with same set of files
Info 39   [22:22:03.224] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [22:22:03.246] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 21.564637001603842ms
Info 41   [22:22:03.246] Different program with same set of files
